transaction_id,customer_id,customer_name,email,phone_number,amount,payment_method,transaction_status,transaction_date,city,login_attempts,device_type
1066,C028,Riya,user66@mail.com,8982979741,1200,UPI,Pending,2026-13-40,Kathmandu,3,desktop
1067,C021,Sohan,user67@mail.com,8628334692,-300,NetBanking,Pending,2026-05-20,Patna,0,
1068,C035,Aman,user68@mail.com,8503068227,5400,Cheque,Success,2026-05-20,Delhi,3,Mobile
1069,C002,Rahul,user69@mail.com,7654477195,5400,Card,Done,2026-05-20,,3,desktop
1070,C017,Neha,user70@mail.com,8584392711,1200,Bitcoin,Unknown,2026-05-20,Mumbai,4,mobile
1071,C002,Sohan,user71@mail.com,9473028098,0,NetBanking,Failed,2026-05-20,,3,mobile
1072,C020,Neha,user72@mail.com,9938870196,499,Bitcoin,Success,21-05-2026,,6,
1073,C024,Aman,user73@mail.com,9173085046,99999,UPI,Done,2026-13-40,Delhi,6,MOBILE
1074,C030,,user74@mail.com,7657091982,0,Card,Unknown,21-05-2026,,8,desktop
1075,C030,Priya,user75@mail.com,9544659112,-300,Cash,Failed,2026-05-20,Kathmandu,7,Mobile
1076,C030,Rahul,user76@mail.com,9621354709,0,Cash,Success,2026-13-40,Kathmandu,2,desktop
1005,C014,Sohan,user77@mail.com,8109615163,99999,Cash,Unknown,21-05-2026,,0,Tablet
1078,C013,Aman,user78@mail.com,8036616336,0,NetBanking,Unknown,2026/05/21,Bangalore,7,
1079,C032,Priya,user79@mail.com,7074059253,499,Cash,Failed,2026-13-40,Bangalore,3,MOBILE
1080,C024,Priya,user80@mail.com,9377148230,99999,NetBanking,Unknown,21-05-2026,Kathmandu,7,MOBILE
1081,C020,Sohan,user81@mail.com,7990153355,499,Cheque,Failed,21-05-2026,Delhi,8,
1082,C012,Riya,user82@mail.com,7929364954,750,Cash,Unknown,,,4,mobile
1083,C013,Sohan,user83@mail.com,7977032766,99999,Card,Pending,2026-05-20,Bangalore,8,Mobile
1084,C018,Aman,user84@mail.com,7234187462,-300,Cheque,Failed,2026-13-40,Delhi,0,Tablet
1085,C019,Priya,user85@mail.com,9056061866,750,Cash,Failed,2026-05-20,Kathmandu,7,mobile
1086,C005,Priya,user86@mail.com,9112035409,499,Bitcoin,Success,2026/05/21,Mumbai,4,mobile
1087,C016,Aman,user87@mail.com,9396905421,0,Bitcoin,Unknown,,Mumbai,8,desktop
1088,C029,Priya,user88@mail.com,8277121963,0,Cash,Unknown,,Delhi,1,Mobile
1089,C014,Sohan,user89@mail.com,9836517266,499,Card,Failed,2026/05/21,,1,Mobile
1090,C001,Priya,user90@mail.com,8934898666,750,Cash,Success,2026/05/21,Kathmandu,4,
1091,C030,Aman,user91@mail.com,9952295757,5400,Cash,Unknown,2026/05/21,Patna,1,Tablet
1092,C015,,user92@mail.com,7639904576,-300,Card,Success,2026-05-20,Mumbai,4,Tablet
1093,C019,Priya,user93@mail.com,7534094883,750,Cheque,Pending,2026-13-40,Kathmandu,8,Tablet
1094,C032,Priya,user94@mail.com,7345495128,250,NetBanking,Pending,,Kathmandu,0,mobile
1095,C015,,user95@mail.com,9470461357,250,Cheque,Pending,,Delhi,2,desktop
1096,C034,,user96@mail.com,8899360801,-300,Card,Unknown,2026-13-40,Bangalore,7,mobile
1097,C031,Sohan,user97@mail.com,8753841726,99999,Cash,Success,2026/05/21,Kathmandu,6,
1098,C032,Sohan,user98@mail.com,9845774616,0,Bitcoin,Success,2026-13-40,Delhi,5,MOBILE
1099,C021,Aman,user99@mail.com,8735918651,250,Cheque,Unknown,2026-13-40,Patna,0,Mobile
1100,C034,Sohan,user100@mail.com,9674192109,750,Cheque,Done,2026-05-20,Mumbai,4,Tablet
